Date,Day,Month,Year,Time,City,County,Reporter_Occupation,Sighting,Sighting_Tokenised,overall_emotion,experience_overall
1997-01-20 00:00:00,20.0,1.0,1997.0,06:50:00,Dartmoor,Devon,,"two objects/lights that were parallel. were stationary for about 10 seconds. they moved away at speed, and then became brighter.","['two', 'objects/lights', 'parallel', 'stationary', '10', 'seconds', 'moved', 'away', 'speed', 'became', 'brighter']",anger,Negative
1997-01-20 00:00:00,20.0,1.0,1997.0,16:45:00,Norwich,Norfolk,,"a green light seen in the sky, that moved in a curve, falling as it went.","['green', 'light', 'seen', 'sky', 'moved', 'curve', 'falling', 'went']",joy,Positive
1997-01-20 00:00:00,20.0,1.0,1997.0,01:00:00,Woodford Green,Essex,,"three triangular shaped objects. they were bright white, but also turned red, green and orange. they moved spot and then zoomed off.","['three', 'triangular', 'shaped', 'objects', 'bright', 'white', 'also', 'turned', 'red', 'green', 'orange', 'moved', 'spot', 'zoomed']",joy,Positive
1997-01-20 00:00:00,20.0,1.0,1997.0,19:45:00,Caernarfon Bay,Caernarfonshire,,"a huge, blue, fast object in the sky. there was a cloud of smoke and it made the floor shake.","['huge', 'blue', 'fast', 'object', 'sky', 'cloud', 'smoke', 'made', 'floor', 'shake']",sadness,Positive
1997-01-24 00:00:00,24.0,1.0,1997.0,03:10:00,Hainault,Essex,,"a round, glowing object, with a dome on top and another underneath. it had port holes and glowed white/yellow. disappeared after a few seconds.","['round', 'glowing', 'object', 'dome', 'top', 'another', 'underneath', 'port', 'holes', 'glowed', 'white/yellow', 'disappeared', 'seconds']",anticipation,Positive
1997-01-24 00:00:00,24.0,1.0,1997.0,19:05:00,Spey Bay Beach/Moray,Morayshire,,"one large, semi-circular shaped object. blood red orange, very vivid. similar to a street light. object was stationary, then moved off.","['one', 'large', 'semi-circular', 'shaped', 'object', 'blood', 'red', 'orange', 'vivid', 'similar', 'street', 'light', 'object', 'stationary', 'moved']",joy,Positive
1997-01-24 00:00:00,24.0,1.0,1997.0,20:07:00,B260/Longfield,Kent,,"three very bright objects, pulsating - white, green and yellow. they sometimes moved into a triangular formation.","['three', 'bright', 'objects', 'pulsating', 'white', 'green', 'yellow', 'sometimes', 'moved', 'triangular', 'formation']",joy,Positive
1997-01-24 00:00:00,24.0,1.0,1997.0,19:00:00,Spey Bay,Morayshire,,one object. was bright red/orange in colour. bright light. the object was moving downwards.,"['one', 'object', 'bright', 'red/orange', 'colour', 'bright', 'light', 'object', 'moving', 'downwards']",anger,Negative
1997-01-25 00:00:00,25.0,1.0,1997.0,21:00:00,Huddersfield,West Yorkshire,,"one object. got larger as it came close. was starlight shaped, with a blue light pulsating and was extremely bright.","['one', 'object', 'got', 'larger', 'came', 'close', 'starlight', 'shaped', 'blue', 'light', 'pulsating', 'extremely', 'bright']",disgust,Positive
1997-01-25 00:00:00,25.0,1.0,1997.0,20:30:00,Marske By The Sea,North Yorkshire,,"one bright object. collection of red, green and blue lights.","['one', 'bright', 'object', 'collection', 'red', 'green', 'blue', 'lights']",joy,Positive
1997-01-26 00:00:00,26.0,1.0,1997.0,00:30:00,Edinburgh,Fife,,"one object, in the shape of three dots. flashing red, purple, blue and yellow lights. they looked like disco lights.","['one', 'object', 'shape', 'three', 'dots', 'flashing', 'red', 'purple', 'blue', 'yellow', 'lights', 'looked', 'disco', 'lights']",sadness,Positive
1997-01-26 00:00:00,26.0,1.0,1997.0,20:40:00,A537/Chelford/Nr Macclesfield,Cheshire,,"one object, 50 metres across. was round and dark, with white incandescent lights around it. with two very bright, red lights beneath it.","['one', 'object', '50', 'metres', 'across', 'round', 'dark', 'white', 'incandescent', 'lights', 'around', 'two', 'bright', 'red', 'lights', 'beneath']",anticipation,Positive
1997-01-27 00:00:00,27.0,1.0,1997.0,10:55:00,Droylsden,Greater Manchester,,"one, silver/white metallic object. stubby wings further back. cylindrical. low, growling hum. two more objects were there for 2-3 minutes.","['one', 'silver/white', 'metallic', 'object', 'stubby', 'wings', 'back', 'cylindrical', 'low', 'growling', 'hum', 'two', 'objects', '2-3', 'minutes']",anger,Negative
1997-01-27 00:00:00,27.0,1.0,1997.0,20:23:00,Flamborough,East Yorkshire,,two blue lights. shape described as a flint sparking continuously. both lights varied from being 30-100 yards apart.,"['two', 'blue', 'lights', 'shape', 'described', 'flint', 'sparking', 'continuously', 'lights', 'varied', '30-100', 'yards', 'apart']",sadness,Positive
1997-01-27 00:00:00,27.0,1.0,1997.0,22:40:00,Newport,South Glamorgan,,a 'tube of light' coming down from the sky. it first looked like a star moving towards the car. left a dust cover on the car.,"[""'tube"", 'light', 'coming', 'sky', 'first', 'looked', 'star', 'moving', 'towards', 'car', 'left', 'dust', 'cover', 'car']",anticipation,Positive
1997-01-28 00:00:00,28.0,1.0,1997.0,20:00:00,Swansea,Glamorgan,,three white lights accompanied by a red light. they seemed to be many miles away.,"['three', 'white', 'lights', 'accompanied', 'red', 'light', 'seemed', 'many', 'miles', 'away']",anticipation,Positive
1997-01-30 00:00:00,30.0,1.0,1997.0,17:55:00,Marlow,Buckinghamshire,,one sphere shaped object. white light. it descended slowly to eye level and slowed and appeared to spin and accelerate and then disappeared.,"['one', 'sphere', 'shaped', 'object', 'white', 'light', 'descended', 'slowly', 'eye', 'level', 'slowed', 'appeared', 'spin', 'accelerate', 'disappeared']",anticipation,Positive
1997-01-31 00:00:00,31.0,1.0,1997.0,20:00:00,York,North Yorkshire,,"two to three ufos circling the area. they looked like fast moving, cloud shaped objects.","['two', 'three', 'ufos', 'circling', 'area', 'looked', 'fast', 'moving', 'cloud', 'shaped', 'objects']",anger,Positive
1997-02-02 00:00:00,2.0,2.0,1997.0,20:10:00,Chester,Cheshire,,"orange, round object that was very bright. was high up and made a rapid downwards descent.","['orange', 'round', 'object', 'bright', 'high', 'made', 'rapid', 'downwards', 'descent']",fear,Negative
1997-02-02 00:00:00,2.0,2.0,1997.0,14:25:00,Selkirk,Selkirkshire,,mirror like object. it was flickering.,"['mirror', 'object', 'flickering']",anger,Negative
1997-02-02 00:00:00,2.0,2.0,1997.0,07:30:00,Caerphilly,Mid-Glamorgan,,"cigar shaped object, with wings but no tail. jade green in colour. white lights through windows. moved in a straight line.","['cigar', 'shaped', 'object', 'wings', 'tail', 'jade', 'green', 'colour', 'white', 'lights', 'windows', 'moved', 'straight', 'line']",joy,Positive
1997-02-03 00:00:00,3.0,2.0,1997.0,21:35:00,Coventry,West Midlands,,"one large, triangular shaped object. very bright, and white in colour and green at the top. it was moving north.","['one', 'large', 'triangular', 'shaped', 'object', 'bright', 'white', 'colour', 'green', 'top', 'moving', 'north']",anticipation,Positive
1997-02-03 00:00:00,3.0,2.0,1997.0,10:52:00,Farringdon,Oxfordshire,,"an oval shaped object, moving very fast.","['oval', 'shaped', 'object', 'moving', 'fast']",anger,Positive
1997-02-05 00:00:00,5.0,2.0,1997.0,08:30:00,Beeston/Nr Leeds,West Yorkshire,,one object that was spherical shaped. it was silver in colour and very shiny and bright. it remained steady and then disappeared.,"['one', 'object', 'spherical', 'shaped', 'silver', 'colour', 'shiny', 'bright', 'remained', 'steady', 'disappeared']",fear,Positive
1997-02-06 00:00:00,6.0,2.0,1997.0,23:30:00,Manchester,Greater Manchester,,"disc shaped objects were seen. they were surrounded by lights. a droning noise was heard. one shot off, but returned later with another identical object.","['disc', 'shaped', 'objects', 'seen', 'surrounded', 'lights', 'droning', 'noise', 'heard', 'one', 'shot', 'returned', 'later', 'another', 'identical', 'object']",anger,Negative
1997-02-07 00:00:00,7.0,2.0,1997.0,08:05:00,Bathgate/Falkirk,Central,,"one object, like a vapour trail, (but too low down). white, but not bright. not very fast.","['one', 'object', 'vapour', 'trail', 'low', 'white', 'bright', 'fast']",anticipation,Positive
1997-02-08 00:00:00,8.0,2.0,1997.0,18:37:00,Southend to London,Essex,,"two strange, white lights surrouned by coloured lights. then two more lots of lights appeared. they were moving slowly towards london.","['two', 'strange', 'white', 'lights', 'surrouned', 'coloured', 'lights', 'two', 'lots', 'lights', 'appeared', 'moving', 'slowly', 'towards', 'london']",anticipation,Positive
1997-02-08 00:00:00,8.0,2.0,1997.0,19:30:00,Cross Green/Leeds,West Yorkshire,,"one object, round shaped, consisting of a large, bright light. it was moving from east to west.","['one', 'object', 'round', 'shaped', 'consisting', 'large', 'bright', 'light', 'moving', 'east', 'west']",anger,Positive
1997-02-09 00:00:00,9.0,2.0,1997.0,19:00:00,Mons Mill/Todmorden,West Yorkshire,,the object was spherical in shape. was a solid blue colour in the centre. it was moving in a westerly direction.,"['object', 'spherical', 'shape', 'solid', 'blue', 'colour', 'centre', 'moving', 'westerly', 'direction']",sadness,Positive
1997-02-10 00:00:00,10.0,2.0,1997.0,23:00:00,Near Plymouth,Devon,,"a round, deep, red object. it was not lit up and didn't have any lights. it was moving from west to east and was very high. 4-5 times faster than an airliner.","['round', 'deep', 'red', 'object', 'lit', ""n't"", 'lights', 'moving', 'west', 'east', 'high', '4-5', 'times', 'faster', 'airliner']",anticipation,Negative
1997-02-10 00:00:00,10.0,2.0,1997.0,09:35:00,Barry,Glamorgan,,one oblong object. it was red in the centre and had up to fifteen lights. there was constant movement.,"['one', 'oblong', 'object', 'red', 'centre', 'fifteen', 'lights', 'constant', 'movement']",anger,Positive
1997-02-13 00:00:00,13.0,2.0,1997.0,17:30:00,Croydon,Surrey,,two objects that had one blue and one orange light. they were very bright. they were stationary and then there was erratic movement.,"['two', 'objects', 'one', 'blue', 'one', 'orange', 'light', 'bright', 'stationary', 'erratic', 'movement']",sadness,Negative
1997-02-14 00:00:00,14.0,2.0,1997.0,15:10:00,Maidstone,Kent,,"two, small, triangular shaped objects. black in colour. the objects were heading north and then disappeared into cloud.","['two', 'small', 'triangular', 'shaped', 'objects', 'black', 'colour', 'objects', 'heading', 'north', 'disappeared', 'cloud']",fear,Negative
1997-02-14 00:00:00,14.0,2.0,1997.0,07:45:00,Stretham,London,,one airship shaped object. it was black. it was drifting smoothly.,"['one', 'airship', 'shaped', 'object', 'black', 'drifting', 'smoothly']",sadness,Negative
1997-02-14 00:00:00,14.0,2.0,1997.0,08:15:00,Roath/Cardiff,Glamorgan,,"one, triangular shaped object. a shiny, golden colour. it was moving in a straight line and was fast.","['one', 'triangular', 'shaped', 'object', 'shiny', 'golden', 'colour', 'moving', 'straight', 'line', 'fast']",anger,Positive
1997-02-15 00:00:00,15.0,2.0,1997.0,23:00:00,Westbury,Wiltshire,,the object was believed to have landed on top of the westbury white horse beauty spot in wiltshire.,"['object', 'believed', 'landed', 'top', 'westbury', 'white', 'horse', 'beauty', 'spot', 'wiltshire']",anticipation,Positive
1997-02-18 00:00:00,18.0,2.0,1997.0,22:06:00,A449/Llanwern/Newport,Monmouthshire,,there was a cream coloured light.,"['cream', 'coloured', 'light']",anticipation,Positive
1997-02-27 00:00:00,27.0,2.0,1997.0,21:00:00,Gloucester,Gloucestershire,,"five round, glowing objects. they were moving up and down and side to side, and were quite fast.","['five', 'round', 'glowing', 'objects', 'moving', 'side', 'side', 'quite', 'fast']",anticipation,Negative
1997-02-23 00:00:00,23.0,2.0,1997.0,19:20:00,Chelsea,London,,"one, very large, oblong shaped object.yellowy/blue in colour. the object was stationary.","['one', 'large', 'oblong', 'shaped', 'object.yellowy/blue', 'colour', 'object', 'stationary']",anger,Positive
1997-02-26 00:00:00,26.0,2.0,1997.0,21:45:00,A346/Nr Marlborough,Wiltshire,,"one object, green in colour and about 200 feet in the air. it had a very, long, green tail behind it.","['one', 'object', 'green', 'colour', '200', 'feet', 'air', 'long', 'green', 'tail', 'behind']",joy,Positive
1997-03-05 00:00:00,5.0,3.0,1997.0,02:30:00,East Winch/Kings Lynn,Norfolk,,"white light, not unlike a/c landing light, with a faint beam or trail. was stationary and then there was some movement.","['white', 'light', 'unlike', 'a/c', 'landing', 'light', 'faint', 'beam', 'trail', 'stationary', 'movement']",joy,Positive
1997-03-05 00:00:00,5.0,3.0,1997.0,21:00:00,Edale/Lake District,Derbyshire,,"triangular shaped object. it was green/yellow in colour and had pulsing lights. it made rapid, jerky movements and moved position.","['triangular', 'shaped', 'object', 'green/yellow', 'colour', 'pulsing', 'lights', 'made', 'rapid', 'jerky', 'movements', 'moved', 'position']",surprise,Positive
1997-03-05 00:00:00,5.0,3.0,1997.0,23:00:00,East Woodford,London,,"one object, similar to aircraft size, but triangular shaped. it was light in the centre, but the rest was dim white. moved left/right, and stop/started.","['one', 'object', 'similar', 'aircraft', 'size', 'triangular', 'shaped', 'light', 'centre', 'rest', 'dim', 'white', 'moved', 'left/right', 'stop/started']",anticipation,Positive
1997-03-05 00:00:00,5.0,3.0,1997.0,22:35:00,Enfield,Middlesex,,"a pink/red, round object. a bit came off the side and fell down. the object was flying in a north westerly direction.","['pink/red', 'round', 'object', 'bit', 'came', 'side', 'fell', 'object', 'flying', 'north', 'westerly', 'direction']",sadness,Negative
1997-03-06 00:00:00,6.0,3.0,1997.0,18:30:00,Crondall,Surrey,,the object was at an angle. it was round with a dome on top. it had lights all around and internal lights. it was stationary and then hovered.,"['object', 'angle', 'round', 'dome', 'top', 'lights', 'around', 'internal', 'lights', 'stationary', 'hovered']",anticipation,Positive
1997-03-08 00:00:00,8.0,3.0,1997.0,07:10:00,Childwall/Liverpool,Merseyside,,"one object, car headlight size. was white and very bright.","['one', 'object', 'car', 'headlight', 'size', 'white', 'bright']",anticipation,Positive
1997-03-08 00:00:00,8.0,3.0,1997.0,19:05:00,Ayr,Ayrshire,,the object was like a star with a tail. there was a glow all around it. it was stationary.,"['object', 'star', 'tail', 'glow', 'around', 'stationary']",anticipation,Positive
1997-03-08 00:00:00,8.0,3.0,1997.0,05:30:00,Salford,Greater Manchester,,two objects. one was solid and charcoal grey and the other was more like a bright light. they zig zagged and then moved away vertically.,"['two', 'objects', 'one', 'solid', 'charcoal', 'grey', 'bright', 'light', 'zig', 'zagged', 'moved', 'away', 'vertically']",anger,Positive
1997-03-09 00:00:00,9.0,3.0,1997.0,03:45:00,Southend Beach,Essex,,"a metallic blue object. it hovered above the sea, and then crashed into it.","['metallic', 'blue', 'object', 'hovered', 'sea', 'crashed']",sadness,Negative
1997-03-10 00:00:00,10.0,3.0,1997.0,03:45:00,Llanfair Caereinion,Powys,,a round ball with a tail. was like a torch with a flare. there was no movement.,"['round', 'ball', 'tail', 'torch', 'flare', 'movement']",anger,Negative
1997-03-11 00:00:00,11.0,3.0,1997.0,20:26:00,Lynas-Wal/Llaneilian,Isle of Anglesey,,one object with white and red lights.,"['one', 'object', 'white', 'red', 'lights']",anticipation,Positive
1997-03-12 00:00:00,12.0,3.0,1997.0,19:30:00,Montrose,Tayside,,"one, round, very bright object, with static beams shining down.","['one', 'round', 'bright', 'object', 'static', 'beams', 'shining']",joy,Positive
1997-03-12 00:00:00,12.0,3.0,1997.0,20:45:00,M40/Gaydon,Warwickshire,,"five, pure white lights. they were very fast, and went from horizon to horizon in two-three seconds.","['five', 'pure', 'white', 'lights', 'fast', 'went', 'horizon', 'horizon', 'two-three', 'seconds']",anticipation,Positive
1997-03-13 00:00:00,13.0,3.0,1997.0,20:50:00,Warwick,Warwickshire,,one huge big circle of bright white light. was high in the sky and was circling around.,"['one', 'huge', 'big', 'circle', 'bright', 'white', 'light', 'high', 'sky', 'circling', 'around']",anticipation,Positive
1997-03-15 00:00:00,15.0,3.0,1997.0,20:30:00,A483/Wrexham-Newtown,Denbighshire,,"one, large, oval, white and very bright object. the object was straight and level and was moving parallel with the car.","['one', 'large', 'oval', 'white', 'bright', 'object', 'object', 'straight', 'level', 'moving', 'parallel', 'car']",anticipation,Positive
1997-03-18 00:00:00,18.0,3.0,1997.0,23:20:00,Elgin,Morayshire,,three lights. then there was a blue flash about 500ft up.,"['three', 'lights', 'blue', 'flash', '500ft']",sadness,Negative
1997-03-18 00:00:00,18.0,3.0,1997.0,04:00:00,Kingstanding/Birmingham,West Midlands,,"one large, triangle shaped object. lit up blue. 200 ft in length. a very bright light in each corner. hovered, then shot off. left a substance of which he has some in a jam jar.","['one', 'large', 'triangle', 'shaped', 'object', 'lit', 'blue', '200', 'ft', 'length', 'bright', 'light', 'corner', 'hovered', 'shot', 'left', 'substance', 'jam', 'jar']",sadness,Positive
1997-03-19 00:00:00,19.0,3.0,1997.0,08:40:00,Birmingham Airport,West Midlands,,a small object that was moving very strangely.,"['small', 'object', 'moving', 'strangely']",anger,Negative
1997-03-19 00:00:00,19.0,3.0,1997.0,21:50:00,Kidderminster,Worcestershire,,"one, large, cigar shaped object, with four individual red/green lights. very bright. was moving very slowly and moving from left to right.","['one', 'large', 'cigar', 'shaped', 'object', 'four', 'individual', 'red/green', 'lights', 'bright', 'moving', 'slowly', 'moving', 'left', 'right']",anger,Positive
1997-03-19 00:00:00,19.0,3.0,1997.0,21:15:00,Stoke-on-Trent,Staffordshire,,"one large, round, white object. it was larger than aircraft lights. very bright.","['one', 'large', 'round', 'white', 'object', 'larger', 'aircraft', 'lights', 'bright']",anticipation,Positive
1997-03-20 00:00:00,20.0,3.0,1997.0,06:00:00,Coventry Airport,West Midlands,,"saucer shaped object, like a dull grey cloud. it was moving slowly, but faster than a cloud.","['saucer', 'shaped', 'object', 'dull', 'grey', 'cloud', 'moving', 'slowly', 'faster', 'cloud']",sadness,Negative
1997-03-21 00:00:00,21.0,3.0,1997.0,22:31:00,Crawley,West Sussex,,"a peculiar object, that looked like a flock of birds, with a hole in the middle, leaving a vapour trail across the sky. had orange lights around it.","['peculiar', 'object', 'looked', 'flock', 'birds', 'hole', 'middle', 'leaving', 'vapour', 'trail', 'across', 'sky', 'orange', 'lights', 'around']",anger,Positive
1997-03-27 00:00:00,27.0,3.0,1997.0,20:40:00,Bedworth,Warwickshire,,"two objects were side by side. they were white and very bright. during the incident, the car radio was producing static.","['two', 'objects', 'side', 'side', 'white', 'bright', 'incident', 'car', 'radio', 'producing', 'static']",anticipation,Positive
1997-03-28 00:00:00,28.0,3.0,1997.0,20:00:00,A70/Edinburgh,Fife,,"two, very large, round objects. larger than aircraft lights. white and very bright. they were in line with each other. were moving northwards.","['two', 'large', 'round', 'objects', 'larger', 'aircraft', 'lights', 'white', 'bright', 'line', 'moving', 'northwards']",anticipation,Positive
1997-03-28 00:00:00,28.0,3.0,1997.0,19:43:00,Manchester,Greater Manchester,,one object. dark black and a triangular shape. small red light on the nose. two white lights on the edges that were flashing.,"['one', 'object', 'dark', 'black', 'triangular', 'shape', 'small', 'red', 'light', 'nose', 'two', 'white', 'lights', 'edges', 'flashing']",sadness,Negative
1997-03-30 00:00:00,30.0,3.0,1997.0,22:30:00,Wigan,Greater Manchester,,the object was a similar size and shape as a star. blue and white in colour. it occasionally changed to red. it twinkled.,"['object', 'similar', 'size', 'shape', 'star', 'blue', 'white', 'colour', 'occasionally', 'changed', 'red', 'twinkled']",anticipation,Positive
1997-03-31 00:00:00,31.0,3.0,1997.0,22:00:00,Didcot/Oxford,Oxfordshire,,"lights in the sky, which were white, then green, red and blue. was stationary and then moved from left to right.","['lights', 'sky', 'white', 'green', 'red', 'blue', 'stationary', 'moved', 'left', 'right']",joy,Positive
1997-03-31 00:00:00,31.0,3.0,1997.0,18:50:00,Wythall/Nr Birmingham,West Midlands,,"one jumbo sized, missile shaped object. very long. had fins at rear. white, with an amber glow at the rear. engine noise. straight and level.","['one', 'jumbo', 'sized', 'missile', 'shaped', 'object', 'long', 'fins', 'rear', 'white', 'amber', 'glow', 'rear', 'engine', 'noise', 'straight', 'level']",anticipation,Positive
1997-03-31 00:00:00,31.0,3.0,1997.0,23:45:00,Hemel Hempstead,Hertfordshire,,"an object with pieces of fire coming off of it. it was moving fast through the sky, and the witness thought that it may crash.","['object', 'pieces', 'fire', 'coming', 'moving', 'fast', 'sky', 'witness', 'thought', 'may', 'crash']",fear,Positive
1997-04-01 00:00:00,1.0,4.0,1997.0,20:05:00,Hanwell,London,,"one, round object. very bright. it was slow.","['one', 'round', 'object', 'bright', 'slow']",anger,Negative
1997-04-01 00:00:00,1.0,4.0,1997.0,20:00:00,Notting Hill Gate,London,,"an orange blob, with a long fiery trail from the top, and twenty times longer than wide. like a hot air balloon coming down, leaving a trail.","['orange', 'blob', 'long', 'fiery', 'trail', 'top', 'twenty', 'times', 'longer', 'wide', 'hot', 'air', 'balloon', 'coming', 'leaving', 'trail']",anticipation,Negative
1997-04-07 00:00:00,7.0,4.0,1997.0,20:50:00,East Grinstead,West Sussex,,one star shaped object. white and bright. travelling in a direct line and was exceptionally fast.,"['one', 'star', 'shaped', 'object', 'white', 'bright', 'travelling', 'direct', 'line', 'exceptionally', 'fast']",anticipation,Positive
1997-04-08 00:00:00,8.0,4.0,1997.0,09:01:00,Penycae,Denbighshire,,an object was moving in 90 degree angles. it sped up and then slowed down.,"['object', 'moving', '90', 'degree', 'angles', 'sped', 'slowed']",anger,Negative
1997-04-08 00:00:00,8.0,4.0,1997.0,21:00:00,Wallington,Surrey,,"one object, like a dot of light. white and fairly bright. was vertical. moved very fast.","['one', 'object', 'dot', 'light', 'white', 'fairly', 'bright', 'vertical', 'moved', 'fast']",anticipation,Positive
1997-04-08 00:00:00,8.0,4.0,1997.0,21:30:00,Over Isle of Arran,Isle of Arran,,"a circular ball of light, which changed to green and then red in colour. it travelled horizontally across the sky.","['circular', 'ball', 'light', 'changed', 'green', 'red', 'colour', 'travelled', 'horizontally', 'across', 'sky']",joy,Positive
1997-04-09 00:00:00,9.0,4.0,1997.0,09:15:00,Lowestoft,Suffolk,,"a bright, white light, which had a circle of lights and a triangle in the middle, and also, three large, mauve/blue spots. it hovered, then shot off to the west.","['bright', 'white', 'light', 'circle', 'lights', 'triangle', 'middle', 'also', 'three', 'large', 'mauve/blue', 'spots', 'hovered', 'shot', 'west']",anger,Negative
1997-04-09 00:00:00,9.0,4.0,1997.0,20:30:00,Elland,West Yorkshire,,"three objects, green in colour. horizontal - and approximately the size of traffic lights. were steady and going from west to east.","['three', 'objects', 'green', 'colour', 'horizontal', 'approximately', 'size', 'traffic', 'lights', 'steady', 'going', 'west', 'east']",joy,Positive
1997-04-10 00:00:00,10.0,4.0,1997.0,18:24:00,Aylesbury,Buckinghamshire,,"a sequence of flashing lights, which changed colour - red, blue, green and white.","['sequence', 'flashing', 'lights', 'changed', 'colour', 'red', 'blue', 'green', 'white']",joy,Positive
1997-04-10 00:00:00,10.0,4.0,1997.0,04:30:00,Brighton,East Sussex,,bright light which was green. it had a purple haze. it moved in a straight line and was low in the sky and slow. very quiet.,"['bright', 'light', 'green', 'purple', 'haze', 'moved', 'straight', 'line', 'low', 'sky', 'slow', 'quiet']",fear,Positive
1997-04-11 00:00:00,11.0,4.0,1997.0,21:45:00,West Parley/Ferndown,Dorset,,"a saucer shaped object. had red and blue lights on it. it was hovering silently, and then disappeared behind trees.","['saucer', 'shaped', 'object', 'red', 'blue', 'lights', 'hovering', 'silently', 'disappeared', 'behind', 'trees']",anger,Positive
