Date and Time Reported,City,Summary
01/04/2025 11:00,Clydach,"Silver orb flying at 10 - 20 times faster than a commercial aircraft , roughly the same size as an aircraft"
01/03/2025 23:37,,2 circular objects hovering in the sky that exhibited strange purple and aquamarine lights that flashed - seen thru telescope
01/03/2025 20:49,Newcastle upon Tyne,"After checking the photos on the current planet ""parade"", I noticed an unknown object by the right hand side between the Moon and Venus"
01/03/2025 17:00,Newry,Bright fast moving orb with a trail
01/03/2025 01:05,Sutton,"Slightly larger than the body of an aircraft at high altitude, but it suddenly disappeared."
01/02/2025 20:00,Edinburgh,"Large, flying, wingless craft spotted over Inverleith Park"
01/01/2025 17:30,,"There was one large pulsing light that would disappear and move, then when taking a picture we could see another 3"
12/31/2024 21:33,Dumbarton,Spotted a white light from my lounge window and ran to the front door to record what I was seeing
12/31/2024 19:25,Tornagrain,Walking on the farm track. I looked out West and seen a different light than normal in the sky canvas.15 mins then vanished.
12/30/2024 17:28,Wortham,Disc shape object with ring of lights in centre with multiple colours changing quickly and moving very quickly.
12/30/2024 06:12,Raunds,Hovering
12/29/2024 21:17,,Wasn't there then it was shot up into the sky at a very smooth fast speed came down fast stopped near the ground flew off and vanished
12/28/2024 20:00,New Mill,white orb hovering and made a whirring sound
12/25/2024 16:54,Prescot,"A glowing, orb-like object"
12/21/2024 08:00,Redhill,It was floating in 1 specific location without any movement at all. Within in instant it flew off at a high speed and disappeared
12/20/2024 21:40,,"Object appeared into existence with a extreme luminosity,, travelled anti - clockwise for 3 seconds and then vanished"
12/20/2024 20:15,Inverkeilor,Orbs and lasers
12/20/2024 19:00,Horsehay,White strobe lights moving at pretty high speed red and white flashing all moving at same flight path except a couple
12/20/2024 18:11,Tantobie,A flashing orb at first then a craft of some sort appeared straight after with two flashing lights.
12/20/2024 01:40,Newport,I looked down the road as I was waiting for my taxi and I saw a green sphere object glow and shoot off in the sky
12/19/2024 22:53,,It flew quite low lower than the airplane near it and it went faster than it then disappeared behind the cloud
12/19/2024 21:59,Cleethorpes,"2 sets of lights in 2 triangular type, grey objects"
12/19/2024 05:18,Gaywood,Pulsing red light traveling across the sky
12/18/2024 22:30,Sudbury,"I saw a singular white light that moved in pattern-like motions, and it kept getting very dim and then extremely bright."
12/18/2024 19:36,Digby,Two orbs the size of a small car apeared outside a workshop and shot straight up
12/18/2024 11:45,Doncaster,"Huge aircraft moving slowly toward Sheffield, maybe 50 metres in length. Followed by two jets"
12/17/2024 21:20,Thornton Heath,Slowly moved over the rooftops
12/17/2024 01:03,Nottingham,Walking to car after finishing work and saw something hovering
12/16/2024 17:10,Bicester,"Orb was blinking, also saw a strange drone."
12/16/2024 16:10,Whitefield,The small black cylindrical object was floating in the sky about 1km away then sped up and vanished
12/16/2024 13:42,Ardrossan,It started to shine so bright then was turning clockwise
12/16/2024 13:00,Ardrossan,It started to shine so bright then was turning clockwise
12/15/2024 18:00,Halesowen,One of the orbs was going bright and normal every 10 seconds and a second sighting was a orb appeared from the sky and shot across
12/15/2024 14:54,Newport,I was with my friend talking and then we looked at the sky and we saw white orb change direction fast and weird and flew too fast
12/14/2024 02:00,Leeds,Was getting ready for bed went to close my bedroom blinds and saw a craft flying around in circles so opened my window to film it
12/10/2024 22:36,,Blood red orb flying West to East at a low altitude.
12/05/2024 21:05,Garvagh,In air. Silver circle object zooming through sky and disappeard
12/04/2024 15:22,London,I was walking home from work and I saw a teardrop shaped object within the atmosphere over my location.
12/04/2024 09:30,Dishforth Airfield,Circle very shiny metallic in the sky then disappeared
12/04/2024 02:10,Dumbarton,Massive stretch of light going at at least 500mph
11/28/2024 22:45,Dumbarton,Undefinable shaped black object with orange light
11/27/2024 23:30,Ballycarry,Very fast appeared out of nowhere
11/27/2024 17:30,Saint Ives,This huge big black UAP flying over my house very slowly and no sound
11/26/2024 17:28,York,"Very large bright green object that flashed, but was stationary"
11/25/2024 23:00,Glen Parva,A white thing that flew directly over my house so fast changing height and direction flew like a bird it didn't look metal
11/24/2024 03:00,Walsall,I saw the UFO from my window it was in my back garden and i saw an extraterrestrial.
11/20/2024 18:00,Stockport,7 lights (star like) in plough formation moving in perfect sync across the sky
11/16/2024 23:40,Carlisle,Flashing orb of multiple colours
11/16/2024 21:45,Hessle,"Single light that moved strangely, moved across sky, split into 2 then moved synchrously and blinked, then moved away."
11/16/2024 19:21,Eastleigh,Unnatural lighting above thin layer of clouds
11/16/2024 14:30,Shoreham-by-Sea,Silver sphere seen flying east over Shoreham
11/15/2024 19:00,Manchester,long rectangle black object
11/14/2024 18:50,Mexborough,"Horizontal line of white lights , over a distance of at least half mile"
11/11/2024 21:58,Chester-le-Street,In the dark looking at stars waiting for my bus and saw a purple triangular shaped aircraft with bright LED circular lights
11/11/2024 18:16,Willaston,We saw over 20 of these discs flying in the air and they had a few green lights flashing. One or two sped up to catch the rest of them.
11/11/2024 05:55,Blackburn,Saw 3 oval shaped bright white lights that looked like windows. About 10 feet apart from each other. Silently hovering over the houses.
11/10/2024 23:45,Dounby,Saw a very pale green oval shaped light moving extremely fast behind the clouds
10/29/2024 21:12,Yeadon,"Circle objects bouncing around in a perculiar motion above the clouds on the motorway l, they were below the aircraft"
10/27/2024 13:15,St Albans,A bright light moving inconsistently up and down and two random red lights moving fast but a closer distance
10/25/2024 18:46,Surbiton,I was walking out the back door looked up at the sky and watched them until it disappeared
10/24/2024 23:05,Slough,Several lights in a circle just going on then off
10/22/2024 20:05,West Bromwich,7-8 cigar shape moving
10/22/2024 19:14,Tredegar,Lasted 10-15 seconds
10/22/2024 07:30,Oxford,Golden orbs
10/20/2024 19:54,Dundee,Aircrafts flying at varying speeds towards each other and away again
10/19/2024 19:18,Methil,I noticed a light travelling across the sky making no sound at all.
10/16/2024 23:16,London,Yellow Circle with 2 smaller circles
10/14/2024 05:15,Aberkenfig,8 white bright objects
10/11/2024 19:30,Thorndon,Formation very fast
10/11/2024 12:30,Chelmsford,Seen on video whilst trying to capture northern lights
10/04/2024 15:10,South Ockendon,Saw a light in the sky and watched it caught it on camera and video
10/03/2024 19:19,Whitehaven,Four lights over 5 minutes travelling from south east to north west - no sound whatsoever
09/20/2024 21:32,Hereford,2 bright lights with a visible craft to northeast of the passenger seat.
09/18/2024 22:35,,"Bright amber, ball-shaped EVO over the water, moving with rapid acceleration and controlled flight."
09/15/2024 21:30,Bexleyheath,Orbs/Drones Appear Every Night Between 9PM-Midnight
09/15/2024 18:06,Brighton and Hove,Two orbs with visible propulsion. Dancing and making fast turns and huge acceleration
09/13/2024 12:46,Glasgow,I noticed a pill shaped object in the sky which at first I though was a plane and then realised it was moving in a strange way
09/13/2024 06:33,Poole,"Looking out window, having cigarette, noticed high up. Could see not airplane. Too big, high up."
09/11/2024 16:20,Cwmbran,I saw a craft hovering and moving through the sky for 2 to 3 minutes. It moved steadily and looked to have external lights.
09/09/2024 19:40,London,Orb flickering
09/07/2024 17:10,Mursley,"I was sitting outside with my sister, yes we were drinking wine but she didn't believe me so I took out my phone..."
09/06/2024 18:16,Manchester,3 lights in triangle form with orbs
09/05/2024 18:00,Atherton,My friend sent me 2 photos of these lights he took over his house he and i have no idea wat they were
09/05/2024 18:00,Liverpool,3 Metallic orbs moving slowly and abruptly disappear
09/04/2024 23:00,Llangrove,"Thought it was aurora but when I checked, there was no activity and cloud base was low"
08/30/2024 21:34,Preston on Wye,Seen moving orb in sky at random different directions then stayed still and noticed other less bright orbs moving in parallel with it
08/28/2024 23:50,Campsea Ashe,"While camping, saw a white light emit a blue ""skirt"" of luminous light, unlike any aircraft or natural phenomenon."
08/24/2024 16:30,South Moreton,2 or 3 flashes of intense light in a stationary location
08/20/2024 23:00,Bromborough,"Flashing lights, moving steadily"
08/18/2024 21:45,Bracknell,2 UAPs sighted travelling from left to right at unknown speed (hyperlapse) Unseen by naked eye (observed)
08/11/2024 22:00,Barry,Two unidentified flying objects.
08/04/2024 22:00,Bramhall,2 Craft moved above our garden -seemed to be following each other occasionally merging
07/28/2024 19:08,Ripon,Was observed to be stationary in the sky sillouetted against cumulous clouds. Grey clouds obscured the object
07/28/2024 12:35,Threemilestone,They came to say hi before I started work.
07/27/2024 21:31,Calshot,Two lights materialised and moved away
07/26/2024 12:02,Hounslow,"As the plane was coming to land, in the video from 8 seconds to the end of the video, an object zooms past the plane."
07/23/2024 02:12,Mexborough,"Made to get out of bed to go and see, 4 days later dreamy state, things in my bedroom left scar from surgery"
07/15/2024 01:30,Warrington,Large disk shaped craft numerous smaller lights and triangle shaped objects almost transparent hovering then moving fast
07/10/2024 23:30,Nuneaton,Very large orange blob of light
07/09/2024 23:45,Reading,"Bright orange orb hovered silently, then shrank in place and vanished. No sound, no movement, seen clearly for ~30 seconds."
07/09/2024 05:15,Baildon,"Object round in shape bright lights round the edge zooms from Baildon Moor to 500 ft ahead, then speeds off"
07/08/2024 21:30,Duns,"Travelling at speed and silent, from the South of Duns in an South Easterly direction."
07/08/2024 21:00,Morley,"Object hovered over house, looked like a star, police dismissed as possible drone due to height. Couldn't find telescope, object disapp"
06/28/2024 11:09,Lincoln,"White cylindrical object spotted flying east to west shortly before planes with contrails, which this object didn't have"
06/01/2024 22:20,Ashby-de-la-Zouch,Spinner S Shape like a boomerang.
05/17/2024 21:40,Preston,"Silent, steady speed, super high altitude and iPhone and canon dlsr couldn’t pick up details on it."
05/13/2024 22:21,Warrington,Picture of moon with brightly lit object to the right of the moon
05/11/2024 23:59,,My son was waiting to see the northern lights and he videoed the event I have 3second video of it
05/11/2024 22:29,Law,"Orange light, no ADSB, no rocket, no trail"
05/11/2024 21:50,,In the back garden having a barbecue with family then spotted an object which was fascinating. My son filmed it
05/11/2024 14:00,Rostrevor,Kilbroney Park
05/11/2024 00:02,Wirral,White light jumping in different directions
04/26/2024 18:30,Hertford,"Silver rotating sphere at approx 25,000 ft"
04/20/2024 21:30,Crossgates,Multiple small pulses of light travelling from south to north at approx 100 mph
04/16/2024 23:37,Bangor,"a still bright light, brighter than the moon that dimmed down into orange and green lights, then started moving."
03/24/2024 17:00,Chester,Object following passenger jet
03/20/2024 20:25,Shanklin,Saw a triangular set of white lights going from left to right for about 5 seconds then faded and disappeared
03/18/2024 19:40,Sleaford,"Fast moving, one object or group moving together"
03/06/2024 21:27,Marlborough,Strange shape in the sky that changed colour
03/06/2024 21:00,Holyhead,"Looked very far away in the sky, it was moving way to fast to be a plane,moving in every direction almost zooming but not super fast"
02/27/2024 16:25,Bilston,"1 large red/orange orb that split into 3 then slowly descended in formation. Then, all together they flew north until they disappeared"
02/24/2024 10:30,Great Hallingbury,UFO looked like a huge elongated wing seen edge on. It was hovering about 2 km from my location. It then abruptly vanished.
02/23/2024 20:03,Motherwell,3 UFOs spotted in Lanarkshire Scotland
02/21/2024 20:30,Bimbister,Bright lights brighter than Venus
02/20/2024 22:00,,Stood in a courtyard between buildings. Saw small bright light followed by a large craft 200’ft up flying slowly above the city
02/17/2024 05:27,East Kilbride,Hovering bright green orb then incredible fast moving across sky sudden stops and moving again at incredible speed
02/13/2024 20:15,Thornaby,"White circle moving slowly about 1000 feet. No noise, no navigation lights constant speed very slow"
02/12/2024 16:45,Carshalton,I was online watching a live stream of the sun and observed this object move across the sun
01/30/2024 19:00,Stourbridge,Slow pulsating object
01/27/2024 19:58,Manchester,Three spheres
01/25/2024 22:15,Brownhills,The object was zooming through the sky and then coming to a complete stop. Then going at high speeds and stopping repeatedly.
01/24/2024 16:55,Hemel Hempstead,an orb travelling west to east
01/23/2024 23:40,Corfe Mullen,Circle of lights
01/23/2024 20:20,Manchester,Not aircraft. Flying West: 3 then 4 then 7 not all together: some close and some wide apart at different angles. They were in space
01/18/2024 18:10,,Green orbs
01/14/2024 18:10,,A line of flashing orbs and the bottom one seems to move left and right
01/13/2024 16:50,Glasgow,"From one to 7 flare like fireballs coming in and out of brightness and following the same path, like ww2 foo fighters"
01/03/2024 01:00,Allerton,"Camping in Allerton I encountered one big light, followed by 2 smaller ice blue and white lights"
01/01/2024 19:10,Buxton,Triangle shaped aircraft 3 white lights 1 red light. Absolutely silent. Too big and quiet to be a drone. Absolutely exhilarating sight.
12/25/2023 23:50,Port Talbot,Was circling up and down never ever seen this before bright white
12/20/2023 20:00,Cupar,Light that would change directions and accelerate rapidly
12/17/2023 19:05,Alton,Light in sky moving erraticly
12/15/2023 22:15,Loughborough,Spotted from back garden looking south west
12/13/2023 18:20,Alfreton,Lights appearing and disappearing
12/11/2023 18:30,Chester,I saw what looked like a star moving across the sky but it was flashing as it moved then it disappeared. It was pulsating.
12/11/2023 05:00,Fareham,Saw something moving in the sky
12/01/2023 07:13,Kingfisher Close,flashing object moving erratically/hovering in the sky
11/30/2023 17:26,Chorlton-cum-Hardy,Cross shaped orb formation one leader orb very bright brighter than a star
11/25/2023 17:40,Worcester,After seeing strange light in sky took these pics.
11/25/2023 17:40,Worcester,Short version saw some strange lights in sky took some pics this is the result.
11/24/2023 21:33,Outwell,"Red light clusters appeared out of cloud above Outwell, Wisbech"
11/23/2023 21:30,Rodley,Black Triangular Flying Object with red /white lights moving slowly and heading north
11/22/2023 21:30,London,"Glowing and no sound, very bright."
11/16/2023 21:30,London,"2 dark oval craft flying silently at low altitude, constant speed and heading in formation east to west"
11/11/2023 17:27,Wallasey,"Saw it as I was heading home,it felt like something was digging around my head but I got a photo"
10/29/2023 05:30,Cowes,"Large, quiet, triangular craft flew over 2 witnesses at 05:30 on Sunday morning, off the central southern coast of England"
10/24/2023 20:00,Stanion,Just out for a walk and looked up at first I thought it was the stars then realised there were lots of them in a row.
10/22/2023 22:31,Poolewe,Me and my cousin were on a walk when we both noticed a very bright light then lots of little ones the big light kept changing sizes
10/22/2023 00:00,London,"I saw multiple strange lights shining, rotating almost as if from a cylindrical object above the clouds."
10/21/2023 22:25,Bromley,Strange orbs of light moving horizontally and passing each other in a contained area
10/21/2023 21:30,,"Stargazing, 3 orbs appeared and were playing with an X formation, circling and shooting off and back"
10/21/2023 14:07,London,Basically I was out with a friend and my camera and we saw this white orb high in the sky.
10/20/2023 18:21,Brentford,Two spherical shapes attached and rotating
10/14/2023 22:30,"Crackington, Bude,","These lights were not a long spacex train of debris but they moved upto one another. Silent, high up."
10/14/2023 19:17,Farington,Orange light in the sky
10/14/2023 14:55,London,"A flying object dart in and out of clouds, hovering and going in and out of the atmosphere"
10/10/2023 11:00,BOURNEMOUTH,Doughnut shape basketball size slow flying
10/06/2023 05:10,Worthing,Alien like figures in my flat
10/04/2023 19:00,Near Fareham,"Sky clear, weather good vision good"
